displacement,velocity,d_theta,class
2.26,0.07,0.12,1
388.67,3.11,1.79,0
1.7,0.05,0.02,1
461.38,3.69,1.27,0
480.35,3.84,1.07,0
49,0.7,0.7,0
469.13,3.75,1.31,0
50,1.1,0.3,0
2.24,0.07,0.01,1
47.9,0.38,0.07,0
20,0.3,0.5,0
227.97,1.82,0.23,0
2.26,0.07,0.11,1
463.84,3.71,1.74,0
2.77,0.08,0.03,1
64.22,0.51,0.15,0
44,1.2,0.3,0
3.73,0.11,0.23,1
294.35,2.36,1.87,0
443.76,3.55,1.83,0
101.93,0.82,0.12,0
451.73,3.61,1,0
338.65,2.71,1.67,0
601.97,4.82,1.37,0
44,0.6,0.7,0
5.55,0.17,0.31,1
36,1,0.7,0
76.11,0.61,0.37,0
510.31,4.08,1.61,0
17,0.2,0.5,0
25,0.1,0.7,0
47,1,0.6,0
524.69,4.2,1.61,0
5.47,0.16,0.06,1
2.17,0.07,0.11,1
23,1.1,0.4,0
434.41,3.48,1.65,0
3.19,0.1,0.09,1
40.59,0.33,0.15,0
455.61,3.64,1.72,0
29,0.8,0.1,0
46.24,0.37,0.06,0
443.02,3.54,1.92,0
3.6,0.11,0.16,1
26.43,0.21,0.57,0
2.93,0.09,0.14,1
1.27,0.04,0.03,1
2.35,0.07,0.01,1
34,0.8,0.4,0
47.71,0.38,0.35,0
25,0.3,0.5,0
2.81,0.08,0.05,1
358.82,2.87,1.84,0
2.01,0.06,0.05,1
501.7,4.01,1.13,0
500.17,4,1.42,0
2.17,0.07,0,1
1.49,0.05,0.03,1
24,0.5,0.3,0
2.48,0.07,0.02,1
8.58,0.07,0.79,0
57,1,0.4,0
48,0.5,0.4,0
2.93,0.09,0.06,1
5.64,0.17,0.27,1
383.29,3.07,1.37,0
60,1.2,0.2,0
234.8,1.88,0.17,0
562.36,4.5,1.33,0
383.89,3.07,1.83,0
550.85,4.41,1.69,0
59,0.3,0.4,0
41,1.2,0.6,0
72,0.9,0.6,0
51,0.8,0.7,0
4.89,0.15,0.15,1
52,0.8,0.2,0
62.71,0.5,0,0
4.33,0.13,0.08,1
44,0.8,0.3,0
445.72,3.57,1.49,0
571.77,4.57,2.04,0
52,1.1,0.3,0
115.23,0.92,0.11,0
28.36,0.23,0.29,0
15,1,0.2,0
449.21,3.59,1.31,0
2.08,0.06,0.07,1
463.21,3.71,1.22,0
1.52,0.05,0.04,1
36.18,0.29,0,0
77,0.2,0.5,0
5.5,0.17,0.09,1
83.88,0.67,0.03,0
4,0.12,0.05,1
17.53,0.14,0.15,0
162.09,1.3,0.07,0
504.63,4.04,0.95,0
20,0.6,0.7,0
61,0.8,0.5,0
45,1.1,0.5,0
14.76,0.12,0.05,0
542.37,4.34,0.74,0
2.17,0.07,0.02,1
293.14,2.35,0.1,0
4.26,0.13,0.19,1
2.45,0.07,0.22,1
69.34,0.55,0.17,0
71,0.3,0.6,0
47.14,0.38,0.01,0
2.04,0.06,0.33,1
4.97,0.15,0.23,1
70.47,0.56,0.05,0
359.24,2.87,1.18,0
78,0.5,0.5,0
20,0.2,0.1,0
2.48,0.07,0.02,1
47,0.2,0.6,0
3.29,0.1,1.01,1
22,0.8,0.5,0
336.55,2.69,1.98,0
30,1.1,0.4,0
5.23,0.16,0.5,1
6.3,0.19,0.15,1
49.57,0.4,0,0
1.95,0.06,0.01,1
3.41,0.1,0.1,1
2.78,0.08,0.04,1
540.06,4.32,1.48,0
35,0.5,0.6,0
389.01,3.11,1.31,0
26.95,0.22,0.03,0
1.84,0.06,0.02,1
45,0.9,0.5,0
3.05,0.09,0,1
3.15,0.09,0.18,1
54,1.2,0.4,0
68,0.1,0.3,0
365.21,2.92,2.02,0
2.59,0.08,0.03,1
3.67,0.11,0.05,1
164.18,1.31,0.24,0
2.26,0.07,0.14,1
2,0.06,0.01,1
34,1.1,0.1,0
394.81,3.16,1.41,0
28.85,0.23,0,0
